"";"n";"lambda";"p";"df";"method";"cov_2norm"
"504";10000;7;3;10;"SPCA";0,368781193992888
"505";10000;8;3;3;"PCA";9,02326734931517
"506";10000;8;3;3;"SPCA";0,313436438845843
"507";10000;8;3;5;"PCA";0,730444605250961
"508";10000;8;3;5;"SPCA";0,313637930197027
"509";10000;8;3;10;"PCA";0,237724787763605
"510";10000;8;3;10;"SPCA";0,321898978328222
"511";10000;9;3;3;"PCA";15,5453345044222
"512";10000;9;3;3;"SPCA";0,263351436436716
"513";10000;9;3;5;"PCA";0,389880997221831
"514";10000;9;3;5;"SPCA";0,278814238067371
"515";10000;9;3;10;"PCA";0,197455093808971
"516";10000;9;3;10;"SPCA";0,281661132004678
"517";10000;10;3;3;"PCA";7,65351407615513
"518";10000;10;3;3;"SPCA";0,251297251919438
"519";10000;10;3;5;"PCA";0,376466904815249
"520";10000;10;3;5;"SPCA";0,238228028653512
"521";10000;10;3;10;"PCA";0,162684949607482
"522";10000;10;3;10;"SPCA";0,241898841482359
"523";10000;11;3;3;"PCA";7,28608872360028
"524";10000;11;3;3;"SPCA";0,205639028001867
"525";10000;11;3;5;"PCA";0,360889028438817
"526";10000;11;3;5;"SPCA";0,218267056046035
"527";10000;11;3;10;"PCA";0,158815655456645
"528";10000;11;3;10;"SPCA";0,235849603832771
"529";10000;12;3;3;"PCA";4,30782967055545
"530";10000;12;3;3;"SPCA";0,208309473860841
"531";10000;12;3;5;"PCA";0,283513566265474
"532";10000;12;3;5;"SPCA";0,193918959652046
"533";10000;12;3;10;"PCA";0,138077244405867
"534";10000;12;3;10;"SPCA";0,19669995440299
"535";10000;13;3;3;"PCA";4,36312284329466
"536";10000;13;3;3;"SPCA";0,181008202936441
"537";10000;13;3;5;"PCA";0,272630460920865
"538";10000;13;3;5;"SPCA";0,182404339355037
"539";10000;13;3;10;"PCA";0,12096130293209
"540";10000;13;3;10;"SPCA";0,195347285622975
"541";10000;14;3;3;"PCA";3,84604651581051
"542";10000;14;3;3;"SPCA";0,173733076756747
"543";10000;14;3;5;"PCA";0,252510804556623
"544";10000;14;3;5;"SPCA";0,174823074940509
